INFO:root:

 PROGRAM EXECUTION START 


INFO:root:Writer waited 3.075599670410156e-05 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.009605169296264648 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.04026508331298828 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.06427907943725586 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.09136080741882324 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.10686802864074707 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.0006921291351318359 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.0005159378051757812 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.12552309036254883 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.9802322387695312e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.13458919525146484 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.11835074424743652 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.036884307861328125 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.08948993682861328 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 3.504753112792969e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.03809094429016113 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.09197711944580078 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.09246206283569336 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.22812414169311523 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.34053897857666016 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0854489803314209 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 5.125999450683594e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.09540915489196777 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.06313705444335938 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.03322601318359375 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.1615910530090332 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.053466796875 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.1618819236755371 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.0668330192565918 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.03266000747680664 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.0346224308013916 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.03744006156921387 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 3.719329833984375e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.13475608825683594 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.04967975616455078 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.6941299438476562e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.2932932376861572 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.06433796882629395 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.06234884262084961 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.04611611366271973 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.045085906982421875 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.043749094009399414 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.26409006118774414 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 2.9087066650390625e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.0428617000579834 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.1151888370513916 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 2.574920654296875e-05 seconds for acquiring lock, locked memory block B
INFO:root:Writer waited 0.07268714904785156 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 5.412101745605469e-05 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.7894973754882812e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.09744501113891602 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.18280816078186035 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 2.5033950805664062e-05 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.1263420581817627 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.00018310546875 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.0001220703125 seconds for acquiring lock, locked memory block C
INFO:root:Writer waited 0.1398468017578125 seconds for acquiring lock, locked memory block A
INFO:root:Writer waited 0.10222101211547852 seconds for acquiring lock, locked memory block C
